gisjoin,fips,adi_natrank,adi_staternk
G37002100013002,370210013002,53,4
G37002100014001,370210014001,97,10
G37002100014002,370210014002,92,10
G37002100014003,370210014003,81,8
G37002100014004,370210014004,99,10
G37002100014005,370210014005,45,3
G37002100015001,370210015001,65,6
G37002100016001,370210016001,17,1
G37002100016002,370210016002,21,1
G37002100016003,370210016003,35,2
G37002100016004,370210016004,37,2
G37002100017001,370210017001,25,2
G37002100017002,370210017002,20,1
G37002100018011,370210018011,34,2
G37002100018012,370210018012,47,4
G37002100018021,370210018021,33,2
G37002100018022,370210018022,19,1
G37002100018023,370210018023,47,4
G37002100019001,370210019001,50,4
G37002100019002,370210019002,53,4
G37002100020001,370210020001,81,8
G37002100020002,370210020002,63,6
G37002100020003,370210020003,59,5
G37002100020004,370210020004,67,6
G37002100021011,370210021011,2,1
G37002100021021,370210021021,49,4
G37002100021022,370210021022,56,5
G37002100022031,370210022031,98,10
G37002100022032,370210022032,50,4
G37002100022033,370210022033,53,4
G37002100022041,370210022041,9,1
G37002100022042,370210022042,94,10
G37002100022043,370210022043,52,4
G37002100022044,370210022044,52,4
G37002100022051,370210022051,23,1
G37002100022052,370210022052,36,2
G37002100022053,370210022053,48,4
G37002100022061,370210022061,28,2
G37002100022062,370210022062,49,4
G37002100023011,370210023011,19,1
G37002100023012,370210023012,34,2
G37002100023013,370210023013,39,3
G37002100023021,370210023021,45,3
G37002100023022,370210023022,12,1
G37002100023023,370210023023,38,3
G37002100023024,370210023024,76,7
G37002100024011,370210024011,49,4
G37002100024012,370210024012,59,5
G37002100024013,370210024013,68,6
G37002100024021,370210024021,73,7
G37002100024022,370210024022,59,5
G37002100024023,370210024023,56,5
G37002100025031,370210025031,69,6
G37002100025032,370210025032,63,6
G37002100025041,370210025041,37,2
G37002100025042,370210025042,74,7
G37002100025043,370210025043,90,9
G37002100025051,370210025051,45,3
G37002100025052,370210025052,39,3
G37002100025061,370210025061,73,7
G37002100025062,370210025062,78,8
G37002100025063,370210025063,81,8
G37002100026031,370210026031,65,6
G37002100026032,370210026032,70,7
G37002100026041,370210026041,43,3
G37002100026042,370210026042,74,7
G37002100026043,370210026043,39,3
G37002100026051,370210026051,39,3
G37002100026052,370210026052,70,7
G37002100026053,370210026053,61,5
G37002100026061,370210026061,52,4
G37002100026062,370210026062,53,4
G37002100026063,370210026063,94,10
G37002100026064,370210026064,79,8
G37002100026071,370210026071,48,4
G37002100026072,370210026072,57,5
G37002100026073,370210026073,47,4
G37002100027011,370210027011,34,2
G37002100027012,370210027012,39,3
G37002100027021,370210027021,38,3
G37002100027022,370210027022,41,3
G37002100027031,370210027031,48,4
G37002100027032,370210027032,51,4
G37002100027033,370210027033,27,2
G37002100028031,370210028031,59,5
G37002100028032,370210028032,33,2
G37002100028041,370210028041,48,4
G37002100028042,370210028042,44,3
G37002100028043,370210028043,58,5
G37002100029001,370210029001,55,5
G37002100029002,370210029002,60,5
G37002100029003,370210029003,60,5
G37002100030011,370210030011,53,4
G37002100030012,370210030012,46,3
G37002100030013,370210030013,36,2
G37002100030014,370210030014,97,10
G37002100030021,370210030021,39,3
G37002100030022,370210030022,63,6
G37002100030023,370210030023,75,7
G37002100030024,370210030024,49,4
G37002100030025,370210030025,73,7
G37002100031021,370210031021,20,1
G37002100031023,370210031023,65,6
G37002100031024,370210031024,52,4
G37002100031031,370210031031,48,4
G37002100031041,370210031041,57,5
G37002100031042,370210031042,46,3
G37002100031043,370210031043,98,10
G37002100031044,370210031044,25,2
G37002100031045,370210031045,55,5
G37002100032011,370210032011,27,2
G37002100032021,370210032021,24,2
G37002100032022,370210032022,34,2
G37002100032023,370210032023,45,3
G37002100032031,370210032031,29,2
G37002100032032,370210032032,27,2
G37002100032033,370210032033,37,3
G37002100032041,370210032041,41,3
G37002100032042,370210032042,35,2
G37002100032043,370210032043,25,2
G37002100032051,370210032051,42,3
G37002300201001,370230201001,55,5
G37002300201002,370230201002,90,9
G37002300201003,370230201003,72,7
G37002300202011,370230202011,54,4
G37002300202012,370230202012,24,2
G37002300202013,370230202013,98,10
G37002300202014,370230202014,100,10
G37002300202021,370230202021,48,4
G37002300202022,370230202022,56,5
G37002300203011,370230203011,81,8
G37002300203012,370230203012,77,8
G37002300203013,370230203013,77,8
G37002300203014,370230203014,62,6
G37002300203021,370230203021,51,4
G37002300203022,370230203022,55,5
G37002300203023,370230203023,68,6
G37002300203024,370230203024,77,8
G37002300205001,370230205001,76,7
G37002300205002,370230205002,25,2
